issue_id,original_cid,first_detected,severity,component,function,impact,abk_classification
1,,09/08/25,Critical,Other,DrawSetup_Volumetric,High,Suspicious
2,,09/03/25,Critical,Other,BG_PlayerASM_AreAnimationsLoadedForCondition,High,Suspicious
3,,09/03/25,Critical,Other,BG_PlayerASM_AreAnimationsLoadedForCondition,High,Suspicious
4,,08/25/25,Critical,Other,RewindForAsset,High,Suspicious
5,,08/19/25,Critical,Other,Engine_ResetKey,High,Suspicious
6,,08/13/25,Critical,Other,Free,High,Suspicious
7,,08/13/25,Critical,Other,BG_BuildSound_AliasId,High,Suspicious
8,,08/13/25,Critical,Other,PlayerSpawn_Frontline_UpdateData,High,Suspicious
9,,08/13/25,Critical,Other,GScr_MainMP_GetPlayerData,High,Suspicious
10,,08/13/25,Critical,Other,PlayerAnimset_GatherCollections,High,Suspicious
11,,08/13/25,Critical,Other,R_Universe_BeginAccessFrame,High,Suspicious
12,,08/13/25,Critical,Other,BG_BuildSound_AliasId,High,Suspicious
13,,08/13/25,Critical,Other,CG_CommonItem_GetHUDOutline,High,Suspicious
14,,08/13/25,Critical,Other,R_Water_Tile_SubmitBuckets,High,Suspicious
15,,08/13/25,Critical,Other,PlayerSpawn_Frontline_UpdateData,High,Suspicious
16,,08/13/25,Critical,Other,Bot_GetZonePathToGoal,High,Suspicious
17,,08/13/25,Critical,Other,Bot_UpdateName,High,Suspicious
18,,08/13/25,Critical,Other,PlayerSpawn_Selection_UpdateDistanceData,High,Suspicious
19,,08/13/25,Critical,Other,GScr_MainMP_SetPlayerData,High,Suspicious
20,,08/13/25,Critical,Other,LUI_Render_SendCommandMarkCurrentRTTAsDirty,High,Suspicious
21,,08/13/25,Critical,Other,PM_traceHandler,High,Suspicious
22,,08/13/25,Critical,Other,CG_LwCorpseManager_ConfirmReservations,High,Suspicious
23,,08/13/25,Critical,Other,PlayerAnimset_WeaponHasStreamedAnimations,High,Suspicious
24,,08/13/25,Critical,Other,PlayerAnimset_TouchWeapon,High,Suspicious
25,,08/13/25,Critical,Other,ImportSettings_RequestGenericCloudFiles,High,Suspicious
26,,06/18/25,Critical,Other,GetEventTypeByName,High,Suspicious
27,,06/18/25,Critical,Other,BG_Customization_SetRandomCustomization,High,Suspicious
28,,06/18/25,Critical,Other,CG_ServerCmdMP_ReadPlayerPersistentDataChanges_Direct_Access,High,Suspicious
29,,06/18/25,Critical,Other,GetCivEventName,High,Suspicious
30,,06/10/25,Critical,Other,AddLightGrid,High,Suspicious
31,,06/10/25,Critical,Other,AddLightGrid,High,Suspicious
32,,06/10/25,Critical,Other,XAnim_HitDet_GetTreeParametersInfo,High,Suspicious
33,,06/03/25,Critical,Other,StreamDeck_HandleRequest,Medium,Suspicious
34,,05/28/25,Critical,Other,MoveObjectToPosition,High,Suspicious
35,,05/28/25,Critical,Other,dwGetEnvironmentFlavorForTitleId,High,Suspicious
36,,05/28/25,Critical,Other,CL_PlayerData_UpdateDDLChecksum,High,Suspicious
37,,05/28/25,Critical,Other,dwRegisterEnvironmentDvars,High,Suspicious
38,,05/28/25,Critical,Other,RemoveObject,High,Suspicious
39,,05/28/25,Critical,Other,dwGetTitleIdsForFlavor,High,Suspicious
40,,05/28/25,Critical,Other,RemoveAllObjectsInCategory,High,Suspicious
41,,05/28/25,Critical,Other,LUI_CoD_PlayerData_TriggerCallbackOnPlayerDataWrite,High,Suspicious
42,,05/21/25,Critical,Other,R_TG_ReserveResourceMemory,High,Suspicious
43,,05/21/25,Critical,Other,AllocLightmap,High,Suspicious
44,,05/14/25,Critical,Other,AddLGVBlock,High,Suspicious
45,,05/14/25,Critical,Other,GetCreatorContext,High,Suspicious
46,,05/14/25,Critical,Other,Stream_CombineDistanceImageToParts_Regular,High,Suspicious
47,,05/14/25,Critical,Other,AllocLGVBlock,High,Suspicious
48,,05/14/25,Critical,Other,AddLGVBlock,High,Suspicious
49,,05/14/25,Critical,Other,AddLGVBlock,High,Suspicious
50,,05/07/25,Critical,Other,AddLightmaps,High,Suspicious
51,,04/29/25,Critical,Other,ReadWeaponsCustomizationFromProfile,High,Suspicious
52,,04/29/25,Critical,Other,BulletImpactEffects,High,Suspicious
53,,04/29/25,Critical,Other,AIScr_SetCivAutomaticStateTransitionSettings,High,Suspicious
54,,04/29/25,Critical,Other,Material_CreateComputePipelineState,High,Suspicious
55,,04/29/25,Critical,Other,BG_Execution_GetStreamCollectionForExecutionAnimType,High,Suspicious
56,,04/29/25,Critical,Other,CL_TransientsVisibility_FillVisibilityBitArray,High,Suspicious
57,,04/29/25,Critical,Other,AIScr_SetCivPropagationSettings,High,Suspicious
58,,04/29/25,Critical,Other,CL_TransientsVisibility_FillVisibilityHintBitArray,High,Suspicious
59,,04/29/25,Critical,Other,RegisterNotificationCallback,High,Suspicious
60,,04/29/25,Critical,Other,RegisterReadyCallback,High,Suspicious
61,,04/29/25,Critical,Other,CG_WorldStreaming_TouchClientStreamManualViews,High,Suspicious
62,,04/29/25,Critical,Other,SetLinked,High,Suspicious
63,,04/29/25,Critical,Other,GetHalfEdgeMesh,High,Suspicious
64,,04/29/25,Critical,Other,TriDiagQL,High,Suspicious
65,,04/29/25,Critical,Other,SetLinked,High,Suspicious
66,,04/29/25,Critical,Other,GetConflicts,High,Suspicious
67,,03/19/25,Critical,Other,Target_Alloc,High,Suspicious
68,,03/19/25,Critical,Other,BGScr_SetSavedDvar,High,Suspicious
69,,03/19/25,Critical,Other,GScr_Weapon_SetWeapon,High,Suspicious
70,,03/19/25,Critical,Other,GScr_MainMP_IsEnumValueValid,High,Suspicious
71,,03/19/25,Critical,Other,Scr_DoLoadEntity,High,Suspicious
72,,03/05/25,Critical,Other,AllocateAtlasZone,High,Suspicious
73,,03/05/25,Critical,Other,AllocTempCPUFence,High,Suspicious
74,,02/25/25,Critical,Other,DB_Zones_BeginZoneLoad,High,Suspicious
75,,02/25/25,Critical,Other,DB_Zones_BeginZoneLoad,High,Suspicious
76,,02/10/25,Critical,Other,PhysicsRT_GetEntityNum,High,Suspicious
77,,02/10/25,Critical,Other,R_TG_Barrier2_FlushElements,High,Suspicious
78,,01/29/25,Critical,Other,MapVoxelizedState_RingBufferReceive_ReadStaleSnapshot,High,Suspicious
79,,01/24/25,Critical,Other,G_CommonItem_DisableOverlappingCoverNodesForInstance,High,Suspicious
80,,01/24/25,Critical,Other,DynEntCL_Spatial_FindPartitionForDynEnt,High,Suspicious
81,,11/22/24,Critical,Other,BG_PlayerASM_IsTransitionQuadrant,High,Suspicious
82,,11/22/24,Critical,Other,DLog_LuaValue,High,Suspicious
83,,10/30/24,Critical,Other,BG_PlayerASM_IsTransitionInputClockwise,High,Suspicious
84,,10/30/24,Critical,Other,RecreateElementWithSubType,High,Suspicious
85,,10/21/24,Critical,Other,DynamicInteractionPartitioning_AddInteractionToGrid,High,Suspicious
86,,10/14/24,Critical,Other,FindPosOnPath,High,Suspicious
87,,10/14/24,Critical,Other,GetAnimMappingEntry,High,Suspicious
88,,10/02/24,Critical,Other,operator (),High,Suspicious
89,,09/27/24,Critical,Other,Trust_VerifyEmbeddedSignature,High,Suspicious
90,,09/27/24,Critical,Other,BG_CommonItem_CheckIfItemDefHasTag,High,Suspicious
91,,09/27/24,Critical,Other,Weather_GridDynamic_IsPrecipitating,High,Suspicious
