name,help,type,message,file,start_line,start_offset,end_line,end_offset
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/vfx/Particles/ParticleEmitter.cpp,8142,0,8142,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_iw9/bgame/asm/bg_player_asm_animation.cpp,Various,0,Various,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/bgame/asm/bg_player_asm_animation.cpp,Various,0,Various,0
Out-of-bounds write,Suspicious,OVERRUN,Out-of-bounds write,/code/src/database/db_patchmem.cpp,Various,0,Various,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/lui/LUI_CoD_Functions.cpp,7055,0,7055,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/game/ai/ai_pool.h,Various,0,Various,0
Buffer not null terminated,Suspicious,BUFFER_SIZE,Buffer not null terminated,/code/src/game_iw9/bgame/bg_equipment_snd.cpp,451,0,451,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_iw9/playerspawn/playerspawn_frontline.cpp,Various,0,Various,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/game_mp/g_scr_main_mp.cpp,9863,0,9863,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/bgame/bg_animset_util.cpp,2639,0,2639,0
Out-of-bounds write,Suspicious,OVERRUN,Out-of-bounds write,/code/src/gfx/r_universe.cpp,Various,0,Various,0
Buffer not null terminated,Suspicious,BUFFER_SIZE,Buffer not null terminated,/code/src/game_iw9/bgame/bg_equipment_snd.cpp,436,0,436,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_shared/cgame/common_item/cg_common_item.cpp,Various,0,Various,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/gfx/r_water.cpp,Various,0,Various,0
Out-of-bounds write,Suspicious,OVERRUN,Out-of-bounds write,/code/src/game_iw9/playerspawn/playerspawn_frontline.cpp,228,0,228,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/game/ai/bots/ai_bot_navigation.cpp,1556,0,1556,0
