CID,Type,Impact,First Detected,Severity,Component,File,Function,1. ABK_Code_Type,2. ABK_Classification,ABK_Tags,3. ABK_Initial_Triaged,ABK_AutoTriage,Checker,CWE,Comparison,Issue Kind,Last Snapshot Stream,Line Number
14650,Out-of-bounds access,High,02/13/24,Critical,Other,/code/src/lui/LUI_CoD_Weapon.cpp,ClientWeapon_UseWeaponCutout,Production,False Positive,OVERRUN,,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,776
14704,Out-of-bounds access,High,02/13/24,Critical,Other,/code/src/game_iw9/cgame/cg_weapons.cpp,CG_Weapons_Init,Production,False Positive,OVERRUN,,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,2919
14706,Out-of-bounds access,High,02/13/24,Critical,Other,/code/src/lui/LUI_CoD_Weapon.cpp,ClientWeapon_SetWeaponHideDanglyBits,Production,False Positive,OVERRUN,,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,878
14712,Out-of-bounds read,High,02/13/24,Critical,Other,/code/src/game_iw9/cgame_mp/cg_snapshot_mp.cpp,CG_SnapshotMP_UpdateScore,Production,Suspicious,OVERRUN,,false,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,5043
14735,Out-of-bounds access,High,02/13/24,Critical,Other,/code/src/game_iw9/cgame/cg_pose.cpp,CG_Pose_DoControllers,Production,Not Exploitable,OVERRUN,2025-04-07,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,581
14739,Incorrect sizeof expression,Medium,02/13/24,Critical,Other,/code/src/WaterDynamics/WaterDynamics.cpp,WaterDynamics_WriteInstances,Production,Suspicious,other,,,BAD_SIZEOF,467,Absent,Various,ATVI-CoD-trunk,498
14768,Out-of-bounds read,High,02/13/24,Critical,Other,/code/external/Havok/hk2021_1_0_r1/Source/Common/Base/Math/Matrix/hkMatrix3.inl,setColumn,Third Party/Open Source,Unclassified,OVERRUN,,,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,Various
14813,Out-of-bounds access,High,02/13/24,Critical,Other,/code/src/dynentity/DynEntity_client.cpp,DynEntCl_InitEntities,Production,False Positive,OVERRUN,,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,1376
14815,Out-of-bounds access,High,02/13/24,Critical,Other,/code/src/gfx/r_rendercmds.cpp,R_AddCmdDrawLines,Production,Not Exploitable,"OVERRUN,graphicsCode",2025-09-08,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,8566
14828,Out-of-bounds read,High,02/13/24,Critical,Other,/code/src/universal/curve.cpp,GetPosition,Production,Not Exploitable,"OVERRUN,obo",2025-04-11,,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,Various
14847,Out-of-bounds read,High,02/13/24,Critical,Other,/code/src/universal/dvar.cpp,Dvar_RegisterNew,Production,False Positive,errorChecking,,,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,4227
14956,Out-of-bounds access,High,02/13/24,Critical,Other,/code/src/lui/LUI_CoD_Weapon.cpp,ClientWeapon_GetWeaponOffset,Production,False Positive,OVERRUN,,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,148
14957,Out-of-bounds read,High,02/13/24,Critical,Other,/code/src/game_iw9/game/g_objectives.cpp,G_Objectives_GetObjectiveIndexFromPSIndex,Production,Suspicious,"OVERRUN,obo",2025-04-09,,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,796
15027,Out-of-bounds access,High,02/13/24,Critical,Other,/code/src/game_iw9/cgame/cg_event.cpp,CG_Entity_AddSwimEvent,Production,False Positive,OVERRUN,2025-04-07,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
15037,Out-of-bounds access,High,02/13/24,Critical,Other,/code/src/online/online_friends_crossplay.cpp,AddFriendCallback,Production,Suspicious,OVERRUN,,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,954
15071,Copy into fixed size buffer,Low,02/13/24,Critical,Other,/code/src/los_precompute/los_precompute_system.cpp,LoadDynamicPathNodeDeclarationFile,Production,Suspicious,other,,,STRING_OVERFLOW,120,Absent,Various,ATVI-CoD-trunk,169
15101,Out-of-bounds write,High,02/13/24,Critical,Other,/code/src/game_shared/bgame/vehicles/bg_vehicle_elm_collection.inl,AddElement,Production,Suspicious,OVERRUN,2024-12-12,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,25
15105,Out-of-bounds access,High,02/13/24,Critical,Other,/vendor/visual_studio/17.14.36119.2/windows_kits/10/Include/10.0.26100.0/ucrt/stdio.h,_vsprintf_l,Third Party/Open Source,Unclassified,OVERRUN,,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
15127,Out-of-bounds access,High,02/13/24,Critical,Other,/code/src/physics/Private/Core/PhysicsRT_Volume.cpp,CG_PhysicsVolume_Init,Production,Not Exploitable,cov_sus,2025-04-07,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,141
15131,Out-of-bounds access,High,02/13/24,Critical,Other,/code/src/xanim/proceduralbones/proceduralbones_allocator.cpp,XAnimProceduralBonesAllocator_AllocateInstance,Production,Suspicious,"OVERRUN,graphicsCode",2024-12-12,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
15143,Out-of-bounds read,High,02/13/24,Critical,Other,/code/src/database/db_binarypatch_load.cpp,DB_BinaryPatch_BeginLoad,Production,Suspicious,OVERRUN,2025-04-09,,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,600
15197,Out-of-bounds read,High,02/13/24,Critical,Other,/code/external/Havok/hk2021_1_0_r1/Source/Common/Base/Math/Matrix/hkMatrix4f.inl,setColumn,Third Party/Open Source,Unclassified,OVERRUN,,,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,39
15345,Out-of-bounds access,High,02/13/24,Critical,Other,/code/src/lui/LUI_CoD_Weapon.cpp,ClientWeapon_SetWeaponRotationCenter,Production,False Positive,OVERRUN,,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,603
15359,Illegal address computation,High,02/13/24,Critical,Other,/code/external/Havok/hk2021_1_0_r1/Source/Common/Base/Math/Matrix/hkMatrix3.inl,getColumn,Third Party/Open Source,Unclassified,OVERRUN,,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,32
15496,Out-of-bounds read,High,02/13/24,Critical,Other,/code/src/stream/stream_defrag.cpp,Command_MaxPageCount,Production,Suspicious,OVERRUN,2025-04-09,,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,978
15518,Out-of-bounds access,High,02/13/24,Critical,Other,/code/common/libs/SuperTerrainCore/SuperTerrainCore/SuperTerrainDefines.h,R_ST_IterateLayerMask,Production,Suspicious,OVERRUN,2025-04-08,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,217
15626,Untrusted value as argument,Medium,02/13/24,Critical,Other,/code/src/game_iw9/game_mp/g_player_events_mp.cpp,GameSwitchOffhandPullbackEvent,Production,Suspicious,downcasting,,,TAINTED_SCALAR,20,Absent,Various,ATVI-CoD-trunk,1431
15686,Out-of-bounds access,High,02/13/24,Critical,Other,/code/src/game_iw9/bgame/bg_weapons.cpp,BG_Offhand_IsGestureInterruptable,Production,False Positive,OVERRUN,2025-04-07,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,23546
15743,Out-of-bounds access,High,02/13/24,Critical,Other,/code/src/lui/LUI_CoD_Weapon.cpp,ClientWeapon_SetWeaponAllowDefault,Production,False Positive,OVERRUN,,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,844
15770,Out-of-bounds read,High,02/13/24,Critical,Other,/code/src/gfx/r_water.cpp,R_Water_Tile_SubmitMeshPatches,Production,Not Exploitable,"OVERRUN,graphicsCode",2025-04-11,,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,8114
15812,Out-of-bounds access,High,02/13/24,Critical,Other,/code/src/snd/sd_output_libad.cpp,SD_AD_TerminateThread,Production,Suspicious,OVERRUN,2025-04-08,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,1790
15830,Out-of-bounds access,High,02/13/24,Critical,Other,/code/src/game_iw9/cgame/cg_player_use_local.cpp,CG_UsableWorld_Clear,Production,Not Exploitable,cov_sus,2025-04-07,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,124
15837,Out-of-bounds write,High,02/13/24,Critical,Other,/code/src/memory/mem_paged.cpp,Mem_Paged_AddPageUnmapToBatchContext,Production,Suspicious,OVERRUN,2025-04-14,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,4175
15928,Out-of-bounds access,High,02/13/24,Critical,Other,/code/src/lui/LUI_CoD_Weapon.cpp,ClientWeapon_SetWeaponRotationGoal,Production,False Positive,OVERRUN,,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,562
15979,Out-of-bounds access,High,02/13/24,Critical,Other,/code/src/client/cl_input.cpp,CL_Input_ClearKeys,Production,Not Exploitable,cov_sus,2025-04-07,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,6681
16026,Out-of-bounds access,High,02/13/24,Critical,Other,/code/src/gfx/r_decal_volume_model.cpp,R_DecalVolumesGrid_AddTo1x1Grid,Production,False Positive,"OVERRUN,graphicsCode",,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,1275
16046,Out-of-bounds access,High,02/13/24,Critical,Other,/code/src/client/cl_ui_streaming.cpp,CL_UIStreaming_UpdateClientRequestCount,Production,False Positive,OVERRUN,2025-04-14,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,2099
16151,Out-of-bounds read,High,02/13/24,Critical,Other,/code/src/game_shared/cgame/cg_visionsets.cpp,CG_VisionSetLerpAssetBlendSet,Production,False Positive,fp logic,2025-04-09,,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,1517
16160,Out-of-bounds access,High,02/13/24,Critical,Other,/code/src/game_shared/bgame/vehicles/bg_vehicle_physics_manager.inl,GetElementById,Production,Suspicious,"OVERRUN,physicsCode",2025-03-27,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
16182,Out-of-bounds read,High,02/13/24,Critical,Other,/code/src/gfx/r_init.cpp,R_SystemsShutdown,Production,Suspicious,"OVERRUN,graphicsCode",2025-04-14,,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,1761
16333,Out-of-bounds access,High,02/13/24,Critical,Other,/code/src/universal/jqprof.cpp,jqprof_iterate_samples,Production,False Positive,cov_logic_error,2025-04-14,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
16387,Out-of-bounds access,High,02/13/24,Critical,Other,/code/common/libs/PhysicsCore/PhysicsCore/Havok/HavokPhysicsCollisionQueryDispatchers.cpp,castShapeConvexFirstPass,Third Party/Open Source,Unclassified,"OVERRUN,physicsCode",,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,1092
16452,Out-of-bounds read,High,02/13/24,Critical,Other,/code/src/snd/sd_output_libad.cpp,SD_AD_ThreadFunc,Production,Suspicious,OVERRUN,2025-04-09,,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,1748
16647,Out-of-bounds access,High,02/13/24,Critical,Other,/code/src/lui/LUI_CoD_Weapon.cpp,ClientWeapon_SetWeaponIsViewModel,Production,False Positive,OVERRUN,,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,810
16765,Out-of-bounds write,High,02/13/24,Critical,Other,/code/src/game_shared/cgame/vehicles/cg_vehicle_treads.cpp,TreadBoneAnimCreate,Production,Suspicious,OVERRUN,2025-04-15,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,228
