name,help,type,message,file,start_line,start_offset,end_line,end_offset
24428,Uninitialized variables,Uninitialized scalar variable,"Event uninit_use_in_call : Using uninitialized value ""node"". Field ""node.unusedPaddingByte"" is uninitialized when calling ""emplace_back"". [ details ] Also see events: [ var_decl ]",/code/common/libs/AVT/AVT/IndirectionTexture.cpp,272,0,272,0
19309,Memory - illegal accesses,Out-of-bounds read,"Event overrun-local : Overrunning array ""coord"" of 128 16-byte elements at element index 4294967295 (byte offset 68719476735) using index ""vertIter - 1U"" (which evaluates to 4294967295). Also see events: [ assignment ][ incr ][ assignment ]",/code/common/libs/GlassCore/GlassCore/glass_crack_shard.cpp,836,0,836,0
15518,Memory - corruptions,Out-of-bounds access,"Event overrun-call : Overrunning callee's array of size 256 by passing argument ""layerIndex"" (which evaluates to 256) in call to ""operator ()"". [ details ] Also see events: [ return_constant ][ assignment ]",/code/common/libs/SuperTerrainCore/SuperTerrainCore/SuperTerrainDefines.h,220,0,220,0
27180,Uninitialized variables,Uninitialized scalar variable,"Event uninit_use_in_call : Using uninitialized value ""ctx"". Field ""ctx.block"" is uninitialized when calling ""Core_MD5_Final"". [ details ] Also see events: [ var_decl ]",/code/common/libs/core/core/core_checksum.cpp,277,0,277,0
27190,Memory - corruptions,Out-of-bounds write,"Event overrun-local : Overrunning array ""fracture::s_meshPoolUsed"" of 16 bytes at byte offset 16 using index ""index"" (which evaluates to 16). Also see events: [ cond_const ]",/code/common/libs/fracture/fracture/half_edge_clipper.cpp,36,0,36,0
29391,Memory - corruptions,Out-of-bounds access,"Event overrun-call : Overrunning callee's array of size 16 by passing argument ""index"" (which evaluates to 16) in call to ""operator []"". [ details ] Also see events: [ cond_const ]",/code/common/libs/fracture/fracture/half_edge_clipper.cpp,37,0,37,0
27746,Memory - illegal accesses,Buffer not null terminated,"Event buffer_size : Calling ""strncpy"" with a source string whose length (8 chars) is greater than or equal to the size argument (8) will fail to null-terminate ""p->Signature"".",/code/game/libs/systemsurvey/systemsurvey/sysinfo/win/storage_win.cpp,482,0,482,0
27528,Memory - illegal accesses,Out-of-bounds read,"Event overrun-local : Overrunning array ""reg_lmap"" of 17 bytes at byte offset 63 using index ""dst"" (which evaluates to 63). Also see events: [ cond_at_most ]",/code/libs/battlenet/2022.10.1/packages/pcre/8.41.0.5/src/sljit/sljitNativeX86_common.c,2642,0,2642,0
25193,Memory - illegal accesses,Out-of-bounds read,"Event overrun-local : Overrunning array of 17408 bytes at byte offset 17408 by dereferencing pointer ""pi"". [ details ] Also see events: [ cond_const ][ incr ][ alias ]",/code/libs/ddl/src/ddl/ddl_parse.cpp,199,0,199,0
25232,Memory - corruptions,Out-of-bounds write,"Event overrun-local : Overrunning array ""pi->token"" of 1024 bytes at byte offset 1024 using index ""len"" (which evaluates to 1024). Also see events: [ cond_at_most ][ incr ][ incr ]",/code/libs/ddl/src/ddl/ddl_parse.cpp,386,0,386,0
27241,Memory - corruptions,Out-of-bounds access,"Event overrun-buffer-arg : Calling ""SetPageType"" with ""this->m_pPages"" and ""ni"" is suspicious because of the very large index, 4294967295. The index may be due to a negative parameter being interpreted as unsigned. [ details ] Also see events: [ assignment ]",/code/libs/telescope/client/source/DefaultMemoryAllocator/PagedVirtualMemoryAllocator.cpp,241,0,241,0
27724,Memory - corruptions,Out-of-bounds access,"Event overrun-buffer-arg : Calling ""Read"" with ""buf"" and ""readSz"" is suspicious because of the very large index, 18446744073709551615. The index may be due to a negative parameter being interpreted as unsigned. [ details ] Also see events: [ return_constant ][ assignment ][ assignment ]",/code/libs/telescope/client/source/VideoCache.cpp,599,0,599,0
24015,Memory - corruptions,Out-of-bounds write,"Event overrun-local : Overrunning array ""s_patchCollision_AreaSwap_ShapesRefCount"" of 8 4-byte elements at element index 8 (byte offset 35) using index ""shapeIdx"" (which evaluates to 8). Also see events: [ assignment ]",/code/src/PatchCollision/PatchCollision_AreaSwap.cpp,163,0,163,0
22768,Memory - corruptions,Out-of-bounds write,"Event overrun-local : Overrunning array ""s_patchCollision_AreaSwap_ShapesRefCount"" of 8 4-byte elements at element index 8 (byte offset 35) using index ""shapeIdx"" (which evaluates to 8). Also see events: [ assignment ]",/code/src/PatchCollision/PatchCollision_AreaSwap.cpp,221,0,221,0
21656,Memory - illegal accesses,Out-of-bounds read,"Event overrun-local : Overrunning array ""s_patchCollision_AreaSwap_SimulationShape"" of 8 8-byte elements at element index 8 (byte offset 71) using index ""shapeIdx"" (which evaluates to 8). Also see events: [ assignment ]",/code/src/PatchCollision/PatchCollision_AreaSwap.cpp,440,0,440,0
27054,Memory - illegal accesses,Out-of-bounds read,"Event overrun-local : Overrunning array ""s_patchCollision_AreaSwap_DetailShape"" of 8 8-byte elements at element index 8 (byte offset 71) using index ""shapeIdx"" (which evaluates to 8). Also see events: [ assignment ]",/code/src/PatchCollision/PatchCollision_AreaSwap.cpp,440,0,440,0
25987,Memory - corruptions,Out-of-bounds access,"Event overrun-call : Overrunning callee's array of size 3 by passing argument ""context"" (which evaluates to 255) in call to ""WaterDynamics_GetContextTime"". [ details ] Also see events: [ return_constant ][ assignment ]",/code/src/WaterDynamics/WaterDynamics_PhysicsBehavior.cpp,988,0,988,0
20212,Memory - corruptions,Out-of-bounds access,"Event overrun-call : Overrunning callee's array of size 8 by passing argument ""hknpLevelOfDetail::INVALID"" in call to ""setBodyAndShapeWithLevelOfDetail"". [ details ]",/code/src/WaterDynamics/WaterDynamics_PhysicsBehavior.cpp,1794,0,1794,0
29415,Memory - corruptions,Out-of-bounds access,"Event overrun-call : Overrunning callee's array of size 1 by passing argument ""localClientNum"" (which evaluates to 1) in call to ""CL_TransientsVisibility_GetVisibilityHintBitArray"". [ details ] Also see events: [ assignment ][ assignment ]",/code/src/client/cl_transients_visibility.cpp,79,0,79,0
22293,Memory - corruptions,Out-of-bounds access,"Event overrun-buffer-arg : Calling ""memset"" with ""s_editableContexts[localClientNum]"" and ""896ULL"" is suspicious because the function call may access ""s_editableContexts"" at byte ""localClientNum * sizeof (DDLContext [14]) + 895ULL"".",/code/src/client_mp/cl_editable_player_data.cpp,81,0,81,0
