CID,Type,Impact,First Detected,Severity,Component,File,Function,1. ABK_Code_Type,2. ABK_Classification,ABK_Tags,3. ABK_Initial_Triaged,ABK_AutoTriage,Last Triage Comment,Checker,CWE,Comparison,Issue Kind,Last Snapshot Stream,Line Number
31344,Out-of-bounds write,High,01/13/26,Critical,Other,/code/src/game_iw9/cgame/cg_ballistic_detection.cpp,CG_BallisticDetection_AddTracer,Production,Suspicious,,2026-01-13,false,no bounds check,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,89
31341,Out-of-bounds access,High,01/13/26,Critical,Other,/code/src/physics/Private/Core/G_PhysicsCharacterProxy.cpp,operator (),Production,Suspicious,,2026-01-13,true,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,2729
31321,Destination buffer too small,High,12/18/25,Critical,Other,/code/src/online/online_archive_replay_playback.cpp,ParseStringArg,Production,Suspicious,,2026-01-12,true,,BUFFER_SIZE,120,Absent,Various,ATVI-CoD-trunk,4500
31320,Out-of-bounds access,High,12/18/25,Critical,Other,/code/src/gfx/taskgraph/tasks/r_tgt_shallow_water_dynamics.h,R_TGS_ShallowWater,Production,Suspicious,,2026-01-12,true_verified,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,579
31319,Out-of-bounds access,High,12/18/25,Critical,Other,/code/src/game_iw9/bgame/bg_player_collision.cpp,BG_PlayerCollisionPoiseDamage,Production,Suspicious,,2026-01-12,true,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,358
31318,Out-of-bounds access,High,12/18/25,Critical,Other,/code/src/game_iw9/bgame/bg_weapons.cpp,PM_Weapon_ProcessHand,Production,Suspicious,,2026-01-12,true,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,29676
31316,Out-of-bounds access,High,12/18/25,Critical,Other,/code/src/game_iw9/bgame/bg_player_collision.cpp,PM_GetCharacterCollisionType,Production,Suspicious,,2026-01-12,true,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,1302
31315,Out-of-bounds access,High,12/18/25,Critical,Other,/code/src/game_iw9/cgame/cg_antilag.cpp,CgAntilag_AddGameplayRelevantMover,Production,Suspicious,,2026-01-12,true,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,579
31307,Out-of-bounds access,High,12/18/25,Critical,Other,/code/src/automation/automation_system_ddl.cpp,TryGetDDLDataRef,Production,Suspicious,,2026-01-12,true,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
31305,Destination buffer too small,High,12/18/25,Critical,Other,/code/src/online/online_archive_replay_playback.cpp,Init,Production,Suspicious,,2026-01-12,true,,BUFFER_SIZE,120,Absent,Various,ATVI-CoD-trunk,4252
31297,Out-of-bounds access,High,12/18/25,Critical,Other,/code/src/game_iw9/cgame/cg_antilag.cpp,EntityStateToAntiLagEntity,Production,Suspicious,,2026-01-12,true,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
31296,Out-of-bounds access,High,12/18/25,Critical,Other,/code/src/lui/LUI_CoD_Functions.cpp,Engine_GetMonthNameFromIndex,Production,Suspicious,,2026-01-12,true,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,13190
31294,Out-of-bounds access,High,12/03/25,Critical,Other,/code/src/game_iw9/game/ai/ai_scripted_interface.cpp,HandleCooldownToken,Production,Suspicious,,2026-01-12,true,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
31293,Out-of-bounds access,High,12/03/25,Critical,Other,/code/src/game_iw9/game/ai/ai_scripted_interface.cpp,AddShootToken,Production,Suspicious,,2026-01-12,true,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
31292,Out-of-bounds access,High,12/03/25,Critical,Other,/code/src/game_iw9/game/ai/ai_scripted_interface.cpp,NeedsShootTokenToShoot,Production,Suspicious,,2026-01-12,true,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,10219
