issue_id,original_cid,first_detected,severity,component,function,impact,abk_classification,name_with_cid
1,29728,09/08/25,Critical,Other,DrawSetup_Volumetric,High,Suspicious,CID29728-Out-of-bounds read
2,29720,09/03/25,Critical,Other,BG_PlayerASM_AreAnimationsLoadedForCondition,High,Suspicious,CID29720-Out-of-bounds read
3,29717,09/03/25,Critical,Other,BG_PlayerASM_AreAnimationsLoadedForCondition,High,Suspicious,CID29717-Out-of-bounds access
4,29716,08/25/25,Critical,Other,RewindForAsset,High,Suspicious,CID29716-Out-of-bounds write
5,29710,08/19/25,Critical,Other,Engine_ResetKey,High,Suspicious,CID29710-Out-of-bounds access
6,29696,08/13/25,Critical,Other,Free,High,Suspicious,CID29696-Out-of-bounds access
7,29689,08/13/25,Critical,Other,BG_BuildSound_AliasId,High,Suspicious,CID29689-Buffer not null terminated
8,29686,08/13/25,Critical,Other,PlayerSpawn_Frontline_UpdateData,High,Suspicious,CID29686-Out-of-bounds read
9,29685,08/13/25,Critical,Other,GScr_MainMP_GetPlayerData,High,Suspicious,CID29685-Out-of-bounds access
10,29684,08/13/25,Critical,Other,PlayerAnimset_GatherCollections,High,Suspicious,CID29684-Out-of-bounds access
11,29683,08/13/25,Critical,Other,R_Universe_BeginAccessFrame,High,Suspicious,CID29683-Out-of-bounds write
12,29681,08/13/25,Critical,Other,BG_BuildSound_AliasId,High,Suspicious,CID29681-Buffer not null terminated
13,29675,08/13/25,Critical,Other,CG_CommonItem_GetHUDOutline,High,Suspicious,CID29675-Out-of-bounds read
14,29673,08/13/25,Critical,Other,R_Water_Tile_SubmitBuckets,High,Suspicious,CID29673-Out-of-bounds access
15,29672,08/13/25,Critical,Other,PlayerSpawn_Frontline_UpdateData,High,Suspicious,CID29672-Out-of-bounds write
16,29669,08/13/25,Critical,Other,Bot_GetZonePathToGoal,High,Suspicious,CID29669-Out-of-bounds access
17,29668,08/13/25,Critical,Other,Bot_UpdateName,High,Suspicious,CID29668-Out-of-bounds read
18,29657,08/13/25,Critical,Other,PlayerSpawn_Selection_UpdateDistanceData,High,Suspicious,CID29657-Out-of-bounds write
19,29654,08/13/25,Critical,Other,GScr_MainMP_SetPlayerData,High,Suspicious,CID29654-Out-of-bounds access
20,29652,08/13/25,Critical,Other,LUI_Render_SendCommandMarkCurrentRTTAsDirty,High,Suspicious,CID29652-Out-of-bounds access
21,29651,08/13/25,Critical,Other,PM_traceHandler,High,Suspicious,CID29651-Out-of-bounds access
22,29643,08/13/25,Critical,Other,CG_LwCorpseManager_ConfirmReservations,High,Suspicious,CID29643-Out-of-bounds read
23,29637,08/13/25,Critical,Other,PlayerAnimset_WeaponHasStreamedAnimations,High,Suspicious,CID29637-Out-of-bounds access
24,29634,08/13/25,Critical,Other,PlayerAnimset_TouchWeapon,High,Suspicious,CID29634-Out-of-bounds access
25,29633,08/13/25,Critical,Other,ImportSettings_RequestGenericCloudFiles,High,Suspicious,CID29633-Out-of-bounds access
26,29628,06/18/25,Critical,Other,GetEventTypeByName,High,Suspicious,CID29628-Out-of-bounds read
27,29622,06/18/25,Critical,Other,BG_Customization_SetRandomCustomization,High,Suspicious,CID29622-Out-of-bounds access
28,29621,06/18/25,Critical,Other,CG_ServerCmdMP_ReadPlayerPersistentDataChanges_Direct_Access,High,Suspicious,CID29621-Out-of-bounds access
29,29620,06/18/25,Critical,Other,GetCivEventName,High,Suspicious,CID29620-Out-of-bounds read
30,29619,06/10/25,Critical,Other,AddLightGrid,High,Suspicious,CID29619-Out-of-bounds write
31,29617,06/10/25,Critical,Other,AddLightGrid,High,Suspicious,CID29617-Out-of-bounds read
32,29615,06/10/25,Critical,Other,XAnim_HitDet_GetTreeParametersInfo,High,Suspicious,CID29615-Out-of-bounds write
33,29613,06/03/25,Critical,Other,StreamDeck_HandleRequest,Medium,Suspicious,CID29613-Untrusted pointer write
34,29587,05/28/25,Critical,Other,MoveObjectToPosition,High,Suspicious,CID29587-Out-of-bounds read
35,29586,05/28/25,Critical,Other,dwGetEnvironmentFlavorForTitleId,High,Suspicious,CID29586-Out-of-bounds read
36,29582,05/28/25,Critical,Other,CL_PlayerData_UpdateDDLChecksum,High,Suspicious,CID29582-Out-of-bounds access
37,29580,05/28/25,Critical,Other,dwRegisterEnvironmentDvars,High,Suspicious,CID29580-Illegal address computation
38,29579,05/28/25,Critical,Other,RemoveObject,High,Suspicious,CID29579-Out-of-bounds read
39,29578,05/28/25,Critical,Other,dwGetTitleIdsForFlavor,High,Suspicious,CID29578-Out-of-bounds read
40,29577,05/28/25,Critical,Other,RemoveAllObjectsInCategory,High,Suspicious,CID29577-Out-of-bounds read
41,29576,05/28/25,Critical,Other,LUI_CoD_PlayerData_TriggerCallbackOnPlayerDataWrite,High,Suspicious,CID29576-Out-of-bounds access
42,29553,05/21/25,Critical,Other,R_TG_ReserveResourceMemory,High,Suspicious,CID29553-Out-of-bounds write
43,29552,05/21/25,Critical,Other,AllocLightmap,High,Suspicious,CID29552-Out-of-bounds write
44,29548,05/14/25,Critical,Other,AddLGVBlock,High,Suspicious,CID29548-Out-of-bounds read
45,29545,05/14/25,Critical,Other,GetCreatorContext,High,Suspicious,CID29545-Buffer not null terminated
46,29544,05/14/25,Critical,Other,Stream_CombineDistanceImageToParts_Regular,High,Suspicious,CID29544-Out-of-bounds access
47,29543,05/14/25,Critical,Other,AllocLGVBlock,High,Suspicious,CID29543-Out-of-bounds write
48,29540,05/14/25,Critical,Other,AddLGVBlock,High,Suspicious,CID29540-Out-of-bounds access
49,29532,05/14/25,Critical,Other,AddLGVBlock,High,Suspicious,CID29532-Out-of-bounds write
50,29508,05/07/25,Critical,Other,AddLightmaps,High,Suspicious,CID29508-Out-of-bounds write
51,29467,04/29/25,Critical,Other,ReadWeaponsCustomizationFromProfile,High,Suspicious,CID29467-Out-of-bounds access
52,29462,04/29/25,Critical,Other,BulletImpactEffects,High,Suspicious,CID29462-Out-of-bounds access
53,29457,04/29/25,Critical,Other,AIScr_SetCivAutomaticStateTransitionSettings,High,Suspicious,CID29457-Out-of-bounds access
54,29455,04/29/25,Critical,Other,Material_CreateComputePipelineState,High,Suspicious,CID29455-Out-of-bounds access
55,29453,04/29/25,Critical,Other,BG_Execution_GetStreamCollectionForExecutionAnimType,High,Suspicious,CID29453-Out-of-bounds access
56,29427,04/29/25,Critical,Other,CL_TransientsVisibility_FillVisibilityBitArray,High,Suspicious,CID29427-Out-of-bounds access
57,29420,04/29/25,Critical,Other,AIScr_SetCivPropagationSettings,High,Suspicious,CID29420-Out-of-bounds access
58,29415,04/29/25,Critical,Other,CL_TransientsVisibility_FillVisibilityHintBitArray,High,Suspicious,CID29415-Out-of-bounds access
59,29412,04/29/25,Critical,Other,RegisterNotificationCallback,High,Suspicious,CID29412-Out-of-bounds access
60,29407,04/29/25,Critical,Other,RegisterReadyCallback,High,Suspicious,CID29407-Out-of-bounds access
61,29406,04/29/25,Critical,Other,CG_WorldStreaming_TouchClientStreamManualViews,High,Suspicious,CID29406-Out-of-bounds access
62,29397,04/29/25,Critical,Other,SetLinked,High,Suspicious,CID29397-Out-of-bounds access
63,29391,04/29/25,Critical,Other,GetHalfEdgeMesh,High,Suspicious,CID29391-Out-of-bounds access
64,29390,04/29/25,Critical,Other,TriDiagQL,High,Suspicious,CID29390-Out-of-bounds access
65,29388,04/29/25,Critical,Other,SetLinked,High,Suspicious,CID29388-Out-of-bounds access
66,29386,04/29/25,Critical,Other,GetConflicts,High,Suspicious,CID29386-Out-of-bounds access
67,29376,03/19/25,Critical,Other,Target_Alloc,High,Suspicious,CID29376-Out-of-bounds read
68,29333,03/19/25,Critical,Other,BGScr_SetSavedDvar,High,Suspicious,CID29333-Out-of-bounds read
69,29318,03/19/25,Critical,Other,GScr_Weapon_SetWeapon,High,Suspicious,CID29318-Out-of-bounds access
70,29316,03/19/25,Critical,Other,GScr_MainMP_IsEnumValueValid,High,Suspicious,CID29316-Out-of-bounds access
71,29305,03/19/25,Critical,Other,Scr_DoLoadEntity,High,Suspicious,CID29305-Out-of-bounds access
72,29193,03/05/25,Critical,Other,AllocateAtlasZone,High,Suspicious,CID29193-Out-of-bounds write
73,29190,03/05/25,Critical,Other,AllocTempCPUFence,High,Suspicious,CID29190-Out-of-bounds write
74,29171,02/25/25,Critical,Other,DB_Zones_BeginZoneLoad,High,Suspicious,CID29171-Out-of-bounds access
75,29160,02/25/25,Critical,Other,DB_Zones_BeginZoneLoad,High,Suspicious,CID29160-Out-of-bounds write
76,29137,02/10/25,Critical,Other,PhysicsRT_GetEntityNum,High,Suspicious,CID29137-Out-of-bounds access
77,29134,02/10/25,Critical,Other,R_TG_Barrier2_FlushElements,High,Suspicious,CID29134-Out-of-bounds write
78,29043,01/29/25,Critical,Other,MapVoxelizedState_RingBufferReceive_ReadStaleSnapshot,High,Suspicious,CID29043-Out-of-bounds read
79,29030,01/24/25,Critical,Other,G_CommonItem_DisableOverlappingCoverNodesForInstance,High,Suspicious,CID29030-Out-of-bounds read
80,29025,01/24/25,Critical,Other,DynEntCL_Spatial_FindPartitionForDynEnt,High,Suspicious,CID29025-Out-of-bounds read
81,27771,11/22/24,Critical,Other,BG_PlayerASM_IsTransitionQuadrant,High,Suspicious,CID27771-Out-of-bounds read
82,27732,11/22/24,Critical,Other,DLog_LuaValue,High,Suspicious,CID27732-Out-of-bounds access
83,27550,10/30/24,Critical,Other,BG_PlayerASM_IsTransitionInputClockwise,High,Suspicious,CID27550-Out-of-bounds read
84,27541,10/30/24,Critical,Other,RecreateElementWithSubType,High,Suspicious,CID27541-Out-of-bounds access
85,27485,10/21/24,Critical,Other,DynamicInteractionPartitioning_AddInteractionToGrid,High,Suspicious,CID27485-Out-of-bounds write
86,27427,10/14/24,Critical,Other,FindPosOnPath,High,Suspicious,CID27427-Out-of-bounds access
87,27425,10/14/24,Critical,Other,GetAnimMappingEntry,High,Suspicious,CID27425-Out-of-bounds read
88,27415,10/02/24,Critical,Other,operator (),High,Suspicious,CID27415-Out-of-bounds read
