name,help,type,message,file,start_line,start_offset,end_line,end_offset
CID29728-Out-of-bounds read,29728 Suspicious,OVERRUN,Out-of-bounds read,/code/src/vfx/Particles/ParticleEmitter.cpp,8142,0,8142,0
CID29720-Out-of-bounds read,29720 Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_iw9/bgame/asm/bg_player_asm_animation.cpp,Various,0,Various,0
CID29717-Out-of-bounds access,29717 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/bgame/asm/bg_player_asm_animation.cpp,Various,0,Various,0
CID29716-Out-of-bounds write,29716 Suspicious,OVERRUN,Out-of-bounds write,/code/src/database/db_patchmem.cpp,Various,0,Various,0
CID29710-Out-of-bounds access,29710 Suspicious,OVERRUN,Out-of-bounds access,/code/src/lui/LUI_CoD_Functions.cpp,7055,0,7055,0
CID29696-Out-of-bounds access,29696 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/game/ai/ai_pool.h,Various,0,Various,0
CID29689-Buffer not null terminated,29689 Suspicious,BUFFER_SIZE,Buffer not null terminated,/code/src/game_iw9/bgame/bg_equipment_snd.cpp,451,0,451,0
CID29686-Out-of-bounds read,29686 Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_iw9/playerspawn/playerspawn_frontline.cpp,Various,0,Various,0
CID29685-Out-of-bounds access,29685 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/game_mp/g_scr_main_mp.cpp,9863,0,9863,0
CID29684-Out-of-bounds access,29684 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/bgame/bg_animset_util.cpp,2639,0,2639,0
CID29683-Out-of-bounds write,29683 Suspicious,OVERRUN,Out-of-bounds write,/code/src/gfx/r_universe.cpp,Various,0,Various,0
CID29681-Buffer not null terminated,29681 Suspicious,BUFFER_SIZE,Buffer not null terminated,/code/src/game_iw9/bgame/bg_equipment_snd.cpp,436,0,436,0
CID29675-Out-of-bounds read,29675 Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_shared/cgame/common_item/cg_common_item.cpp,Various,0,Various,0
CID29673-Out-of-bounds access,29673 Suspicious,OVERRUN,Out-of-bounds access,/code/src/gfx/r_water.cpp,Various,0,Various,0
CID29672-Out-of-bounds write,29672 Suspicious,OVERRUN,Out-of-bounds write,/code/src/game_iw9/playerspawn/playerspawn_frontline.cpp,228,0,228,0
CID29669-Out-of-bounds access,29669 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/game/ai/bots/ai_bot_navigation.cpp,1556,0,1556,0
CID29668-Out-of-bounds read,29668 Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_iw9/game/ai/bots/ai_bot_api.cpp,Various,0,Various,0
CID29657-Out-of-bounds write,29657 Suspicious,OVERRUN,Out-of-bounds write,/code/src/game_iw9/playerspawn/playerspawn_selection.cpp,Various,0,Various,0
CID29654-Out-of-bounds access,29654 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/game_mp/g_scr_main_mp.cpp,9889,0,9889,0
CID29652-Out-of-bounds access,29652 Suspicious,OVERRUN,Out-of-bounds access,/code/src/lui/LUI_Render.cpp,1632,0,1632,0
CID29651-Out-of-bounds access,29651 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/bgame/bg_player_collision.cpp,Various,0,Various,0
CID29643-Out-of-bounds read,29643 Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_iw9/cgame_mp/cg_corpse_snapshot_mp.cpp,757,0,757,0
CID29637-Out-of-bounds access,29637 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/bgame/bg_animset_util.cpp,2697,0,2697,0
CID29634-Out-of-bounds access,29634 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/bgame/bg_animset_util.cpp,2585,0,2585,0
CID29633-Out-of-bounds access,29633 Suspicious,OVERRUN,Out-of-bounds access,/code/src/client/import_settings_internal.cpp,287,0,287,0
CID29628-Out-of-bounds read,29628 Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_iw9/game/ai/ai_civilian_reaction_manager.cpp,64,0,64,0
CID29622-Out-of-bounds access,29622 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/bgame/bg_customization_mp.cpp,1411,0,1411,0
CID29621-Out-of-bounds access,29621 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/cgame_mp/cg_servercmds_mp.cpp,Various,0,Various,0
CID29620-Out-of-bounds read,29620 Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_iw9/game/ai/ai_civilian_reaction_manager.cpp,52,0,52,0
CID29619-Out-of-bounds write,29619 Suspicious,OVERRUN,Out-of-bounds write,/code/src/gfx/r_nlg_atlas.cpp,3315,0,3315,0
CID29617-Out-of-bounds read,29617 Suspicious,OVERRUN,Out-of-bounds read,/code/src/gfx/r_nlg_atlas.cpp,3334,0,3334,0
CID29615-Out-of-bounds write,29615 Suspicious,OVERRUN,Out-of-bounds write,/code/src/xanim/xanim.cpp,20431,0,20431,0
CID29613-Untrusted pointer write,29613 Suspicious,TAINTED_SCALAR,Untrusted pointer write,/code/src/peripherals/streamdeck/streamdeck.cpp,248,0,248,0
CID29587-Out-of-bounds read,29587 Suspicious,OVERRUN,Out-of-bounds read,/code/src/qcommon/com_gsp_partition.cpp,2828,0,2828,0
CID29586-Out-of-bounds read,29586 Suspicious,OVERRUN,Out-of-bounds read,/code/src/dw/dwEnvironment.cpp,793,0,793,0
CID29582-Out-of-bounds access,29582 Suspicious,OVERRUN,Out-of-bounds access,/code/src/client/cl_player_data.cpp,145,0,145,0
CID29580-Illegal address computation,29580 Suspicious,OVERRUN,Illegal address computation,/code/src/dw/dwEnvironment.cpp,675,0,675,0
CID29579-Out-of-bounds read,29579 Suspicious,OVERRUN,Out-of-bounds read,/code/src/qcommon/com_gsp_partition.cpp,2745,0,2745,0
CID29578-Out-of-bounds read,29578 Suspicious,OVERRUN,Out-of-bounds read,/code/src/dw/dwEnvironment.cpp,735,0,735,0
CID29577-Out-of-bounds read,29577 Suspicious,OVERRUN,Out-of-bounds read,/code/src/qcommon/com_gsp_partition.cpp,2784,0,2784,0
CID29576-Out-of-bounds access,29576 Suspicious,OVERRUN,Out-of-bounds access,/code/src/lui/LUI_CoD_PlayerData.cpp,Various,0,Various,0
CID29553-Out-of-bounds write,29553 Suspicious,OVERRUN,Out-of-bounds write,/code/src/gfx/r_taskgraph_compile.cpp,1422,0,1422,0
CID29552-Out-of-bounds write,29552 Suspicious,OVERRUN,Out-of-bounds write,/code/src/gfx/r_lightmap_atlas.cpp,2518,0,2518,0
CID29548-Out-of-bounds read,29548 Suspicious,OVERRUN,Out-of-bounds read,/code/src/gfx/r_lightgrid_volumes_atlas.cpp,Various,0,Various,0
CID29545-Buffer not null terminated,29545 Suspicious,BUFFER_SIZE,Buffer not null terminated,/code/src/online/creator/online_creator_dw.cpp,145,0,145,0
CID29544-Out-of-bounds access,29544 Suspicious,OVERRUN,Out-of-bounds access,/code/src/stream/stream_update.cpp,Various,0,Various,0
CID29543-Out-of-bounds write,29543 Suspicious,OVERRUN,Out-of-bounds write,/code/src/gfx/r_lightgrid_volumes_atlas.cpp,2140,0,2140,0
CID29540-Out-of-bounds access,29540 Suspicious,OVERRUN,Out-of-bounds access,/code/src/gfx/r_lightgrid_volumes_atlas.cpp,Various,0,Various,0
CID29532-Out-of-bounds write,29532 Suspicious,OVERRUN,Out-of-bounds write,/code/src/gfx/r_secondary_lighting.cpp,Various,0,Various,0
CID29508-Out-of-bounds write,29508 Suspicious,OVERRUN,Out-of-bounds write,/code/src/gfx/r_secondary_lighting.cpp,Various,0,Various,0
CID29467-Out-of-bounds access,29467 Suspicious,OVERRUN,Out-of-bounds access,/code/src/online/online_userprofiles/online_userprofiles_ddlutils.cpp,Various,0,Various,0
CID29462-Out-of-bounds access,29462 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/cgame_mp/cg_weapons_mp.cpp,Various,0,Various,0
CID29457-Out-of-bounds access,29457 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/game/ai/ai_civilian_manager.cpp,772,0,772,0
CID29455-Out-of-bounds access,29455 Suspicious,OVERRUN,Out-of-bounds access,/code/src/gfx/r_material_pso.cpp,4029,0,4029,0
CID29453-Out-of-bounds access,29453 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/bgame/bg_execution_util.cpp,2640,0,2640,0
CID29427-Out-of-bounds access,29427 Suspicious,OVERRUN,Out-of-bounds access,/code/src/client/cl_transients_visibility.cpp,75,0,75,0
CID29420-Out-of-bounds access,29420 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/game/ai/ai_civilian_manager.cpp,706,0,706,0
CID29415-Out-of-bounds access,29415 Suspicious,OVERRUN,Out-of-bounds access,/code/src/client/cl_transients_visibility.cpp,88,0,88,0
CID29412-Out-of-bounds access,29412 Suspicious,OVERRUN,Out-of-bounds access,/code/src/online/notifications/online_notification_service.cpp,270,0,270,0
CID29407-Out-of-bounds access,29407 Suspicious,OVERRUN,Out-of-bounds access,/code/src/online/notifications/online_notification_service.cpp,257,0,257,0
CID29406-Out-of-bounds access,29406 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/cgame/cg_world_streaming.cpp,869,0,869,0
CID29397-Out-of-bounds access,29397 Suspicious,OVERRUN,Out-of-bounds access,/code/src/qcommon/keybinds.cpp,Various,0,Various,0
CID29391-Out-of-bounds access,29391 Suspicious,OVERRUN,Out-of-bounds access,/code/common/libs/fracture/fracture/half_edge_clipper.cpp,37,0,37,0
CID29390-Out-of-bounds access,29390 Suspicious,OVERRUN,Out-of-bounds access,/code/common/libs/MathCore/MathCore/math_ops.cpp,Various,0,Various,0
CID29388-Out-of-bounds access,29388 Suspicious,OVERRUN,Out-of-bounds access,/code/src/qcommon/keybinds.cpp,404,0,404,0
CID29386-Out-of-bounds access,29386 Suspicious,OVERRUN,Out-of-bounds access,/code/src/qcommon/keybinds.cpp,295,0,295,0
CID29376-Out-of-bounds read,29376 Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_iw9/game/g_targets.cpp,Various,0,Various,0
CID29333-Out-of-bounds read,29333 Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_iw9/bgame/bg_scr_main.cpp,7371,0,7371,0
CID29318-Out-of-bounds access,29318 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/game/g_scr_weapon.cpp,3785,0,3785,0
CID29316-Out-of-bounds access,29316 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/game_mp/g_scr_main_mp.cpp,10140,0,10140,0
CID29305-Out-of-bounds access,29305 Suspicious,OVERRUN,Out-of-bounds access,/code/src/script/scr_readwrite.cpp,1324,0,1324,0
CID29193-Out-of-bounds write,29193 Suspicious,OVERRUN,Out-of-bounds write,/code/src/gfx/r_nlg_atlas.cpp,1135,0,1135,0
CID29190-Out-of-bounds write,29190 Suspicious,OVERRUN,Out-of-bounds write,/code/src/gfx/rb_data_copier.cpp,1157,0,1157,0
CID29171-Out-of-bounds access,29171 Suspicious,OVERRUN,Out-of-bounds access,/code/src/database/db_zones.cpp,2004,0,2004,0
CID29160-Out-of-bounds write,29160 Suspicious,OVERRUN,Out-of-bounds write,/code/src/database/db_zones.cpp,1959,0,1959,0
CID29137-Out-of-bounds access,29137 Suspicious,OVERRUN,Out-of-bounds access,/code/src/physics/Private/Core/PhysicsRT_Ref.cpp,Various,0,Various,0
CID29134-Out-of-bounds write,29134 Suspicious,OVERRUN,Out-of-bounds write,/code/src/gfx/r_taskgraph_compile_barriers.cpp.h,898,0,898,0
CID29043-Out-of-bounds read,29043 Suspicious,OVERRUN,Out-of-bounds read,/code/src/mapVoxelizedState/MapVoxelizedState_RingBufferReceive.cpp,Various,0,Various,0
CID29030-Out-of-bounds read,29030 Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_shared/game/common_item/g_common_item.cpp,366,0,366,0
CID29025-Out-of-bounds read,29025 Suspicious,OVERRUN,Out-of-bounds read,/code/src/dynentity/DynEntity_spatial.cpp,Various,0,Various,0
CID27771-Out-of-bounds read,27771 Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_iw9/bgame/asm/bg_player_asm_util.cpp,3235,0,3235,0
CID27732-Out-of-bounds access,27732 Suspicious,OVERRUN,Out-of-bounds access,/code/src/dlog/dlog_bindings.cpp,92,0,92,0
CID27550-Out-of-bounds read,27550 Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_iw9/bgame/asm/bg_player_asm_util.cpp,3344,0,3344,0
CID27541-Out-of-bounds access,27541 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_shared/bgame/vehicles/bg_vehicle_physics_manager.inl,Various,0,Various,0
CID27485-Out-of-bounds write,27485 Suspicious,OVERRUN,Out-of-bounds write,/code/src/game_iw9/game/ai/ai_interaction_manager.cpp,246,0,246,0
CID27427-Out-of-bounds access,27427 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/bgame/lwagent/pathtimeline/bg_pathtimeline.cpp,192,0,192,0
CID27425-Out-of-bounds read,27425 Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_shared/bgame/bg_ai.cpp,218,0,218,0
CID27415-Out-of-bounds read,27415 Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_iw9/cgame/cg_client_character.cpp,2458,0,2458,0
CID27396-Out-of-bounds access,27396 Suspicious,OVERRUN,Out-of-bounds access,/code/src/gfx/r_amd_ffx_security.h,98,0,98,0
CID27392-Out-of-bounds read,27392 Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_shared/bgame/common_item/bg_common_item.cpp,796,0,796,0
CID27377-Out-of-bounds access,27377 Suspicious,OVERRUN,Out-of-bounds access,/code/src/weather/weather_griddynamic.cpp,428,0,428,0
CID27376-Out-of-bounds access,27376 Suspicious,OVERRUN,Out-of-bounds access,/code/src/weather/weather_griddynamic.cpp,369,0,369,0
CID27360-Out-of-bounds read,27360 Suspicious,OVERRUN,Out-of-bounds read,/code/src/db_zlib/db_inftrees.cpp,Various,0,Various,0
CID27300-Out-of-bounds read,27300 Suspicious,OVERRUN,Out-of-bounds read,/code/src/db_zlib/db_inftrees.cpp,195,0,195,0
CID27244-Out-of-bounds read,27244 Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_iw9/cgame/cg_pose.cpp,Various,0,Various,0
CID27190-Out-of-bounds write,27190 Suspicious,OVERRUN,Out-of-bounds write,/code/common/libs/fracture/fracture/half_edge_clipper.cpp,36,0,36,0
CID27182-Out-of-bounds write,27182 Suspicious,OVERRUN,Out-of-bounds write,/code/src/weather/weather_griddynamic_streamer_tile.inl,Various,0,Various,0
CID27174-Out-of-bounds read,27174 Suspicious,OVERRUN,Out-of-bounds read,/code/src/weather/weather_griddynamic_streamer_tile.inl,Various,0,Various,0
CID27097-Out-of-bounds read,27097 Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_iw9/cgame/cg_hang.cpp,Various,0,Various,0
CID27094-Out-of-bounds read,27094 Suspicious,OVERRUN,Out-of-bounds read,/code/src/database/db_binarypatch_load.cpp,501,0,501,0
CID27093-Out-of-bounds read,27093 Suspicious,OVERRUN,Out-of-bounds read,/code/src/database/db_binarypatch_load.cpp,505,0,505,0
CID27064-Out-of-bounds access,27064 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/game/g_objectives.cpp,4534,0,4534,0
CID27060-Out-of-bounds access,27060 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/game_sp/g_pip_sp.cpp,1145,0,1145,0
CID27059-Out-of-bounds write,27059 Suspicious,OVERRUN,Out-of-bounds write,/code/src/database/db_zones.cpp,1710,0,1710,0
CID27056-Out-of-bounds read,27056 Suspicious,OVERRUN,Out-of-bounds read,/code/src/universal/atvi_stb_image.cpp,Various,0,Various,0
CID27055-Out-of-bounds read,27055 Suspicious,OVERRUN,Out-of-bounds read,/code/src/universal/atvi_stb_image.cpp,5538,0,5538,0
CID27054-Out-of-bounds read,27054 Suspicious,OVERRUN,Out-of-bounds read,/code/src/PatchCollision/PatchCollision_AreaSwap.cpp,440,0,440,0
CID27046-Out-of-bounds write,27046 Suspicious,OVERRUN,Out-of-bounds write,/code/src/qcommon/com_player_data_objectstore.cpp,188,0,188,0
CID27044-Out-of-bounds write,27044 Suspicious,OVERRUN,Out-of-bounds write,/code/src/netconststrings/NetConstStrings_dvar.cpp,196,0,196,0
CID27043-Out-of-bounds write,27043 Suspicious,OVERRUN,Out-of-bounds write,/code/src/database/db_zones.cpp,345,0,345,0
CID27036-Out-of-bounds access,27036 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/game_sp/g_moving_platforms_sp.cpp,80,0,80,0
CID27034-Out-of-bounds read,27034 Suspicious,OVERRUN,Out-of-bounds read,/code/src/database/db_zones.cpp,383,0,383,0
CID27031-Out-of-bounds read,27031 Suspicious,OVERRUN,Out-of-bounds read,/code/src/universal/atvi_stb_image.cpp,Various,0,Various,0
CID27029-Out-of-bounds write,27029 Suspicious,OVERRUN,Out-of-bounds write,/code/src/database/db_zones.cpp,1723,0,1723,0
CID27025-Out-of-bounds read,27025 Suspicious,OVERRUN,Out-of-bounds read,/code/src/universal/atvi_stb_image.cpp,5548,0,5548,0
CID27016-Buffer not null terminated,27016 Suspicious,BUFFER_SIZE,Buffer not null terminated,/code/src/online/online_archive_replay_playback.cpp,1412,0,1412,0
CID26847-Out-of-bounds access,26847 Suspicious,OVERRUN,Out-of-bounds access,/code/src/gfx/r_enumerate.cpp,1740,0,1740,0
CID26822-Illegal address computation,26822 Suspicious,OVERRUN,Illegal address computation,/code/src/lui/LUI_CoD_Functions.cpp,5723,0,5723,0
CID26803-Out-of-bounds read,26803 Suspicious,OVERRUN,Out-of-bounds read,/code/src/qcommon/com_storage.cpp,1640,0,1640,0
CID26790-Out-of-bounds access,26790 Suspicious,OVERRUN,Out-of-bounds access,/code/src/qcommon/com_storage.cpp,1692,0,1692,0
CID26768-Out-of-bounds access,26768 Suspicious,OVERRUN,Out-of-bounds access,/code/src/qcommon/com_player_data.cpp,316,0,316,0
CID26759-Out-of-bounds write,26759 Suspicious,OVERRUN,Out-of-bounds write,/code/src/game_shared/cgame/ClientModel/CG_ClientModel.cpp,5127,0,5127,0
CID26671-Out-of-bounds access,26671 Suspicious,OVERRUN,Out-of-bounds access,/code/src/online/online_userprofiles/online_userprofiles_manager.cpp,377,0,377,0
CID26580-Out-of-bounds access,26580 Suspicious,OVERRUN,Out-of-bounds access,/code/src/qcommon/net_packet.cpp,214,0,214,0
CID26523-Out-of-bounds access,26523 Suspicious,OVERRUN,Out-of-bounds access,/code/src/qcommon/com_player_data.cpp,310,0,310,0
CID26475-Out-of-bounds read,26475 Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_shared/bgame/vehicles/bg_vehicle_leanout.cpp,1518,0,1518,0
