name,help,type,message,file,start_line,start_offset,end_line,end_offset,matched_function,function_length,function_start_line,function_end_line
CID29728-Out-of-bounds read,29728 Suspicious,OVERRUN,Out-of-bounds read,/code/src/vfx/Particles/ParticleEmitter.cpp,8142,0,8142,0,DrawSetup_Mayhem,18,8142,8159
CID29710-Out-of-bounds access,29710 Suspicious,OVERRUN,Out-of-bounds access,/code/src/lui/LUI_CoD_Functions.cpp,7055,0,7055,0,Engine_LinkKey,39,7044,7082
CID29689-Buffer not null terminated,29689 Suspicious,BUFFER_SIZE,Buffer not null terminated,/code/src/game_iw9/bgame/bg_equipment_snd.cpp,451,0,451,0,BG_BuildSound_AliasId,13,443,455
CID29681-Buffer not null terminated,29681 Suspicious,BUFFER_SIZE,Buffer not null terminated,/code/src/game_iw9/bgame/bg_equipment_snd.cpp,436,0,436,0,BG_BuildSound_AliasId,8,443,455
CID29652-Out-of-bounds access,29652 Suspicious,OVERRUN,Out-of-bounds access,/code/src/lui/LUI_Render.cpp,1632,0,1632,0,LUI_Render_CalculatePixelShapeInnerRadius,23,1624,1646
CID29643-Out-of-bounds read,29643 Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_iw9/cgame_mp/cg_corpse_snapshot_mp.cpp,757,0,757,0,CG_LwCorpseManager_ConfirmReservations,137,679,815
CID29637-Out-of-bounds access,29637 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/bgame/bg_animset_util.cpp,2697,0,2697,0,BG_Animset_GetRuleAndAnimFromStateEntry_AnimEntryMap,82,2652,2733
CID29634-Out-of-bounds access,29634 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/bgame/bg_animset_util.cpp,2585,0,2585,0,Animset_GetAnimInfo_Internal,6,2582,2587
CID29633-Out-of-bounds access,29633 Suspicious,OVERRUN,Out-of-bounds access,/code/src/client/import_settings_internal.cpp,287,0,287,0,ImportSettings_AddGenericCloudedImportFile,16,285,300
CID29622-Out-of-bounds access,29622 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/bgame/bg_customization_mp.cpp,1411,0,1411,0,operator(),1,2264,2264
CID29619-Out-of-bounds write,29619 Suspicious,OVERRUN,Out-of-bounds write,/code/src/gfx/r_nlg_atlas.cpp,3315,0,3315,0,AddLightGrid,158,3204,3361
CID29617-Out-of-bounds read,29617 Suspicious,OVERRUN,Out-of-bounds read,/code/src/gfx/r_nlg_atlas.cpp,3334,0,3334,0,AddLightGrid,158,3204,3361
CID29615-Out-of-bounds write,29615 Suspicious,OVERRUN,Out-of-bounds write,/code/src/xanim/xanim.cpp,20431,0,20431,0,XAnimTree_AllocateUID,26,20429,20454
CID29613-Untrusted pointer write,29613 Suspicious,TAINTED_SCALAR,Untrusted pointer write,/code/src/peripherals/streamdeck/streamdeck.cpp,248,0,248,0,StreamDeck_HandleRequest,93,179,271
CID29587-Out-of-bounds read,29587 Suspicious,OVERRUN,Out-of-bounds read,/code/src/qcommon/com_gsp_partition.cpp,2828,0,2828,0,UniTest,242,2818,3059
CID29580-Illegal address computation,29580 Suspicious,OVERRUN,Illegal address computation,/code/src/dw/dwEnvironment.cpp,675,0,675,0,dwRegisterEnvironmentDvars,43,644,686
CID29578-Out-of-bounds read,29578 Suspicious,OVERRUN,Out-of-bounds read,/code/src/dw/dwEnvironment.cpp,735,0,735,0,dwGetTitleIds,17,723,739
CID29553-Out-of-bounds write,29553 Suspicious,OVERRUN,Out-of-bounds write,/code/src/gfx/r_taskgraph_compile.cpp,1422,0,1422,0,R_TG_ReserveResourceMemory,631,990,1620
CID29552-Out-of-bounds write,29552 Suspicious,OVERRUN,Out-of-bounds write,/code/src/gfx/r_lightmap_atlas.cpp,2518,0,2518,0,AllocLightmap,38,2502,2539
CID29545-Buffer not null terminated,29545 Suspicious,BUFFER_SIZE,Buffer not null terminated,/code/src/online/creator/online_creator_dw.cpp,145,0,145,0,operator(),1,145,145
CID29543-Out-of-bounds write,29543 Suspicious,OVERRUN,Out-of-bounds write,/code/src/gfx/r_lightgrid_volumes_atlas.cpp,2140,0,2140,0,AllocLGVBlock,22,2126,2147
CID29455-Out-of-bounds access,29455 Suspicious,OVERRUN,Out-of-bounds access,/code/src/gfx/r_material_pso.cpp,4029,0,4029,0,Material_CreateComputePipelineState,145,4023,4167
CID29427-Out-of-bounds access,29427 Suspicious,OVERRUN,Out-of-bounds access,/code/src/client/cl_transients_visibility.cpp,75,0,75,0,CL_TransientsVisibility_FillVisibilityHintBitArray,11,72,82
CID29415-Out-of-bounds access,29415 Suspicious,OVERRUN,Out-of-bounds access,/code/src/client/cl_transients_visibility.cpp,88,0,88,0,CL_TransientsVisibility_SetVisibilityBitArray,13,85,97
CID29412-Out-of-bounds access,29412 Suspicious,OVERRUN,Out-of-bounds access,/code/src/online/notifications/online_notification_service.cpp,270,0,270,0,SendReadyCallbacks,10,268,277
CID29406-Out-of-bounds access,29406 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/cgame/cg_world_streaming.cpp,869,0,869,0,CG_WorldStreaming_TouchClientStreamManualViews,40,867,906
CID29391-Out-of-bounds access,29391 Suspicious,OVERRUN,Out-of-bounds access,/code/common/libs/fracture/fracture/half_edge_clipper.cpp,37,0,37,0,GetHalfEdgeMesh,24,15,38
CID29388-Out-of-bounds access,29388 Suspicious,OVERRUN,Out-of-bounds access,/code/src/qcommon/keybinds.cpp,404,0,404,0,SetLinked,17,395,411
CID29386-Out-of-bounds access,29386 Suspicious,OVERRUN,Out-of-bounds access,/code/src/qcommon/keybinds.cpp,295,0,295,0,GetConflicts,46,263,308
CID29305-Out-of-bounds access,29305 Suspicious,OVERRUN,Out-of-bounds access,/code/src/script/scr_readwrite.cpp,1324,0,1324,0,Scr_DoLoadEntity,55,1307,1361
CID29193-Out-of-bounds write,29193 Suspicious,OVERRUN,Out-of-bounds write,/code/src/gfx/r_nlg_atlas.cpp,1135,0,1135,0,AllocateAtlasZone,44,1108,1151
CID29171-Out-of-bounds access,29171 Suspicious,OVERRUN,Out-of-bounds access,/code/src/database/db_zones.cpp,2004,0,2004,0,DB_Zones_EndPMemAlloc,15,2000,2014
CID29160-Out-of-bounds write,29160 Suspicious,OVERRUN,Out-of-bounds write,/code/src/database/db_zones.cpp,1959,0,1959,0,DB_Zones_BeginZoneLoad,160,1824,1983
CID29134-Out-of-bounds write,29134 Suspicious,OVERRUN,Out-of-bounds write,/code/src/gfx/r_taskgraph_compile_barriers.cpp.h,898,0,898,0,R_TG_Barrier2_FlushElements,61,847,907
CID27771-Out-of-bounds read,27771 Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_iw9/bgame/asm/bg_player_asm_util.cpp,3235,0,3235,0,BG_PlayerASM_IsTransitionQuadrant,52,3198,3249
CID27732-Out-of-bounds access,27732 Suspicious,OVERRUN,Out-of-bounds access,/code/src/dlog/dlog_bindings.cpp,92,0,92,0,DLog_LuaValue,43,52,94
CID27550-Out-of-bounds read,27550 Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_iw9/bgame/asm/bg_player_asm_util.cpp,3344,0,3344,0,BG_PlayerASM_IsTransitionInputClockwise,38,3311,3348
CID27427-Out-of-bounds access,27427 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/bgame/lwagent/pathtimeline/bg_pathtimeline.cpp,192,0,192,0,FindPosOnPath,49,153,201
