name,help,type,message,file,start_line,start_offset,end_line,end_offset
CID29720-Out-of-bounds read,29720 Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_iw9/bgame/asm/bg_player_asm_animation.cpp,Various,0,Various,0
CID29717-Out-of-bounds access,29717 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/bgame/asm/bg_player_asm_animation.cpp,Various,0,Various,0
CID29716-Out-of-bounds write,29716 Suspicious,OVERRUN,Out-of-bounds write,/code/src/database/db_patchmem.cpp,Various,0,Various,0
CID29696-Out-of-bounds access,29696 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/game/ai/ai_pool.h,Various,0,Various,0
CID29686-Out-of-bounds read,29686 Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_iw9/playerspawn/playerspawn_frontline.cpp,Various,0,Various,0
CID29683-Out-of-bounds write,29683 Suspicious,OVERRUN,Out-of-bounds write,/code/src/gfx/r_universe.cpp,Various,0,Various,0
CID29675-Out-of-bounds read,29675 Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_shared/cgame/common_item/cg_common_item.cpp,Various,0,Various,0
CID29673-Out-of-bounds access,29673 Suspicious,OVERRUN,Out-of-bounds access,/code/src/gfx/r_water.cpp,Various,0,Various,0
CID29668-Out-of-bounds read,29668 Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_iw9/game/ai/bots/ai_bot_api.cpp,Various,0,Various,0
CID29657-Out-of-bounds write,29657 Suspicious,OVERRUN,Out-of-bounds write,/code/src/game_iw9/playerspawn/playerspawn_selection.cpp,Various,0,Various,0
CID29651-Out-of-bounds access,29651 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/bgame/bg_player_collision.cpp,Various,0,Various,0
CID29621-Out-of-bounds access,29621 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/cgame_mp/cg_servercmds_mp.cpp,Various,0,Various,0
CID29576-Out-of-bounds access,29576 Suspicious,OVERRUN,Out-of-bounds access,/code/src/lui/LUI_CoD_PlayerData.cpp,Various,0,Various,0
CID29548-Out-of-bounds read,29548 Suspicious,OVERRUN,Out-of-bounds read,/code/src/gfx/r_lightgrid_volumes_atlas.cpp,Various,0,Various,0
CID29544-Out-of-bounds access,29544 Suspicious,OVERRUN,Out-of-bounds access,/code/src/stream/stream_update.cpp,Various,0,Various,0
